Timestamp,Voltage,Intensity,Energy
22:32:00,3.27,7.4,4.59
22:32:17,1.8,8.8,3.92
22:32:28,3.3,6.5,7.64
22:32:33,2.68,8.3,9.38
22:33:28,1.61,8.6,5.89
22:33:55,1.56,8.8,3.52
22:34:12,2.0,9.8,11.03
22:34:18,1.46,9.6,5.23
22:34:33,1.34,8.1,7.41
22:34:38,2.79,9.2,8.65
22:34:48,1.71,9.7,11.06
22:35:16,2.24,9.3,7.11
22:35:23,1.06,9.6,5.52
22:35:28,2.59,8.9,5.16
22:35:33,3.22,3.5,2.21
22:35:48,1.26,9.9,12.18
22:35:53,1.9,8.9,3.2
22:35:58,3.21,1.5,1.23
22:36:42,2.41,9.9,3.32
22:40:59,3.11,2.6,1.52
22:41:24,0.65,9.6,8.64
22:41:29,1.72,8.3,3.2
22:41:39,1.0,10.0,10.15
22:42:09,0.72,9.2,6.3
22:42:39,3.03,7.3,3.07
22:42:59,0.97,8.3,4.27
22:43:04,0.71,8.3,5.23
22:43:49,3.08,7.3,5.73
22:45:19,0.98,9.7,2.76
22:45:40,3.09,9.5,8.98
22:46:04,1.03,9.6,9.65
22:46:26,1.19,9.3,3.21
22:46:59,1.29,8.8,4.36
22:47:19,2.67,9.6,11.76
22:47:39,0.69,9.5,7.32
22:47:59,3.08,1.9,1.79
22:48:29,1.89,8.3,6.06
22:48:49,2.78,9.3,2.33
22:49:40,3.02,3.0,1.72
22:51:42,3.06,7.2,4.36
22:53:20,3.15,8.1,2.63
22:53:39,3.07,3.5,2.26
22:54:59,1.49,9.3,5.86
22:55:19,3.25,7.6,1.9
22:56:05,3.2,8.2,2.05
22:56:59,0.97,9.2,6.49
22:57:39,2.21,9.2,3.82
22:58:59,3.04,1.4,1.74
23:03:39,3.29,7.1,2.17
23:05:00,3.23,1.8,1.78
23:05:19,2.18,8.6,9.33
23:05:59,2.88,9.7,10.19
23:07:19,1.99,8.3,6.23
23:10:39,2.06,9.6,11.76
23:13:01,3.17,4.5,3.71
23:13:23,0.76,8.4,4.7
23:15:29,3.08,9.8,11.71
23:15:45,1.66,8.3,9.34
23:16:03,3.03,2.4,0.96
23:17:22,1.98,10.0,9.35
23:18:19,3.28,8.8,2.73
23:20:19,3.25,5.2,1.92
23:21:20,3.1,8.5,9.69
23:21:39,2.15,8.9,2.4
23:22:39,2.16,9.2,10.67
23:23:21,2.92,8.9,2.36
23:29:14,3.29,8.0,6.56
23:29:58,1.91,9.7,10.23
23:30:14,3.22,6.7,5.76
23:31:24,1.3,8.7,8.83
23:32:44,2.01,9.5,7.36
23:33:35,0.59,9.0,10.94
23:35:15,1.97,9.5,8.64
23:35:36,3.25,3.4,2.31
23:37:01,1.63,9.2,8.37
23:37:21,3.07,1.2,0.65
23:37:36,0.69,8.8,9.46
23:39:14,1.44,9.8,6.91
23:40:24,3.05,9.4,3.43
23:43:53,2.76,9.0,8.64
23:44:29,3.16,8.2,4.88
23:44:49,3.25,7.2,3.38
23:45:20,2.72,9.5,5.89
23:45:41,0.56,8.9,3.78
23:46:14,1.7,8.9,5.3
23:46:43,2.83,9.3,6.32
23:47:35,1.5,8.5,3.61
23:49:14,0.65,9.7,4.12
23:49:56,1.18,8.1,5.02
23:50:15,1.13,8.8,4.22
23:51:58,1.15,9.3,7.49
23:52:37,1.57,9.8,6.42
23:52:55,0.79,8.7,6.61
02:38:50,3.08,7.4,7.81
02:39:08,3.12,1.8,2.21
02:39:23,3.08,9.8,11.52
02:40:16,1.96,8.7,3.04
13:14:55,2.6,9.0,10.48
13:15:22,3.08,3.2,1.63
13:15:29,3.24,5.7,1.85
13:16:31,3.27,2.1,1.97
13:17:31,2.42,8.5,3.36
13:17:51,3.09,8.7,8.57
13:18:33,1.83,8.3,9.88
13:19:12,0.53,9.5,3.23
13:20:12,3.3,4.0,4.66
13:20:31,2.2,8.5,10.37
13:21:32,2.6,9.5,3.99
13:21:52,2.51,9.2,11.13
13:22:12,0.99,9.1,3.09
14:49:15,1.32,9.7,11.79
14:49:21,1.92,9.3,5.86
14:50:37,1.04,9.9,9.26
14:50:47,1.39,8.3,9.09
14:50:57,0.79,9.4,7.38
14:51:21,1.76,8.3,2.74
14:51:40,0.98,8.6,6.54
14:52:13,2.27,8.6,2.58
14:52:34,0.74,9.2,4.78
14:53:13,1.64,8.5,6.29
14:53:23,1.33,8.4,5.38
14:53:38,3.09,7.3,6.72
14:53:48,2.75,9.0,5.76
14:53:53,3.25,6.8,4.73
14:54:08,0.75,9.4,7.1
14:54:17,3.22,9.7,2.62
14:54:33,3.27,8.7,2.44
14:54:52,1.59,10.0,5.95
14:55:12,1.58,8.6,9.03
14:55:47,1.07,9.4,3.53
14:55:52,3.22,9.3,5.86
14:56:07,1.39,9.4,7.57
14:56:47,1.37,9.6,2.98
14:56:57,2.61,8.3,7.3
14:57:07,1.45,8.2,7.54
14:57:22,3.0,8.3,4.9
14:57:32,3.29,6.6,7.36
14:58:48,1.54,9.6,10.13
14:59:47,0.97,8.4,7.81
15:00:29,2.6,9.9,5.35
15:00:47,2.92,9.0,4.27
15:01:08,2.4,8.3,3.9
15:02:35,1.4,9.9,6.09
15:03:10,2.47,8.5,8.07
15:04:47,3.16,4.5,4.61
15:06:10,3.26,5.9,3.95
15:06:30,0.74,9.8,7.25
15:07:27,3.13,7.2,7.16
15:09:32,3.28,6.6,7.06
15:10:12,2.16,9.4,8.88
15:10:48,2.52,9.8,7.3
15:11:08,2.54,9.3,4.0
15:11:54,2.68,9.0,2.75
15:13:37,3.2,1.2,1.41
15:17:48,3.12,5.6,4.23
15:18:08,1.6,8.3,3.03
15:18:28,1.57,8.8,9.24
15:20:17,2.08,9.6,2.83
15:23:31,1.55,9.2,4.97
15:27:38,0.89,9.8,3.68
15:30:16,1.19,9.5,5.79
15:30:36,3.05,9.3,7.77
15:31:07,2.6,8.5,2.17
15:31:17,1.22,8.2,7.75
15:31:32,3.24,3.6,2.03
15:31:37,1.52,9.5,8.41
15:32:12,0.68,9.6,3.98
15:32:28,1.45,9.7,9.7
15:33:48,2.68,9.5,7.46
15:35:16,3.18,7.1,6.28
15:35:48,0.97,8.5,4.46
15:36:28,2.17,9.3,11.25
15:37:30,1.04,9.1,2.46
15:38:48,0.69,8.3,8.8
15:39:04,2.03,9.1,4.6
15:39:29,3.2,9.3,9.9
15:39:34,3.22,9.7,3.2
15:39:44,3.11,5.4,5.27
15:40:04,3.12,6.4,3.65
15:40:10,3.09,2.6,2.54
15:40:15,0.71,8.3,4.77
15:40:30,1.51,9.1,9.28
15:42:48,0.92,9.6,3.74
15:43:48,1.41,8.4,3.44
15:44:28,0.61,9.5,3.18
15:45:09,2.88,9.8,3.63
15:46:33,1.17,9.1,3.96
15:46:54,3.14,1.6,0.54
15:47:48,3.26,4.1,3.05
15:48:09,2.08,8.8,3.34
15:48:28,3.21,4.8,4.94
15:50:28,3.14,7.2,6.41
15:51:08,0.61,9.7,5.38
15:51:31,1.92,8.9,5.79
15:53:14,0.72,8.6,10.15
15:53:30,3.04,8.3,4.03
15:55:10,1.82,8.1,3.52
16:00:29,1.61,8.1,7.86
16:03:48,2.65,9.4,7.19
16:06:48,3.14,9.6,9.5
16:07:48,3.04,1.0,0.32
16:10:48,2.88,8.2,8.49
16:11:32,2.53,9.6,8.35
16:13:28,2.07,8.2,8.16
16:13:48,2.14,9.5,5.7
16:14:08,3.18,6.7,6.03
16:14:48,2.15,9.6,11.76
16:15:28,1.96,8.5,10.41
16:16:28,3.2,1.7,1.32
16:17:51,1.84,9.6,5.62
16:20:12,2.53,9.4,8.46
16:20:50,3.23,8.8,5.54
16:22:28,2.58,9.1,7.83
16:22:50,2.73,9.3,7.44
16:23:08,3.27,3.8,1.52
16:23:52,3.17,7.3,5.0
16:24:08,3.2,9.4,8.88
16:24:58,3.01,8.9,5.34
